modelo,entity,doc_id,template,complete_prediction,token,pred_type,matched_annotation,annt_type,result
gemini,participants,lusa_1,cls,"['são', 'de', 'alportel', 'territorial', 'post']",são,Fac,Territorial Post,Fac,fp
gemini,participants,lusa_1,cls,"['são', 'de', 'alportel', 'territorial', 'post']",de,Fac,Territorial Post,Fac,fp
gemini,participants,lusa_1,cls,"['são', 'de', 'alportel', 'territorial', 'post']",alportel,Fac,Territorial Post,Fac,fp
gemini,participants,lusa_1,cls,"['são', 'de', 'alportel', 'territorial', 'post']",territorial,Fac,Territorial Post,Fac,tp
gemini,participants,lusa_1,cls,"['são', 'de', 'alportel', 'territorial', 'post']",post,Fac,Territorial Post,Fac,tp
gemini,participants,lusa_1,cls,['statement'],statement,Obj,statement,Obj,tp
gemini,participants,lusa_1,cls,['bar'],bar,Fac,bar,Fac,tp
gemini,participants,lusa_1,cls,['incident'],incident,Other,,,fp
gemini,participants,lusa_1,cls,"['drinking', 'establishment']",drinking,Fac,drinking establishment,Fac,tp
gemini,participants,lusa_1,cls,"['drinking', 'establishment']",establishment,Fac,drinking establishment,Fac,tp
gemini,participants,lusa_1,cls,"['covid', '19']",covid,Other,,,fp
gemini,participants,lusa_1,cls,"['covid', '19']",19,Other,,,fp
gemini,participants,lusa_11,cls,"['same', 'source']",the,Per,the same source,Per,fn
gemini,participants,lusa_11,cls,"['same', 'source']",same,Per,the same source,Per,tp
gemini,participants,lusa_11,cls,"['same', 'source']",source,Per,the same source,Per,tp
gemini,participants,lusa_11,cls,"['gnr', 'source']",gnr,Per,source,Per,fp
gemini,participants,lusa_11,cls,"['gnr', 'source']",source,Per,source,Per,tp
gemini,participants,lusa_11,cls,"['fecal', 'coliforms']",fecal,Obj,fecal coliforms,Nat,tp
gemini,participants,lusa_11,cls,"['fecal', 'coliforms']",coliforms,Obj,fecal coliforms,Nat,tp
gemini,participants,lusa_11,cls,['car'],the,Obj,the car,Obj,fn
gemini,participants,lusa_11,cls,['car'],car,Obj,the car,Obj,tp
gemini,participants,lusa_11,cls,['waters'],the,Nature,the waters,Nat,fn
gemini,participants,lusa_11,cls,['waters'],waters,Nature,the waters,Nat,tp
gemini,participants,lusa_11,cls,['woman'],the,Per,the woman,Per,fn
gemini,participants,lusa_11,cls,['woman'],woman,Per,the woman,Per,tp
gemini,participants,lusa_11,cls,['firefighters'],to,Per,to firefighters,Org,fn
gemini,participants,lusa_11,cls,['firefighters'],firefighters,Per,to firefighters,Org,tp
gemini,participants,lusa_11,cls,['murtosa'],murtosa,Loc,Murtosa,Pl_civil,tp
gemini,participants,lusa_11,cls,"['torreira', 'shellfish', 'gatherers']",torreira,Per,dozens of shellfish gatherers,Per,fp
gemini,participants,lusa_11,cls,"['torreira', 'shellfish', 'gatherers']",dozens,Per,dozens of shellfish gatherers,Per,fn
gemini,participants,lusa_11,cls,"['torreira', 'shellfish', 'gatherers']",of,Per,dozens of shellfish gatherers,Per,fn
gemini,participants,lusa_11,cls,"['torreira', 'shellfish', 'gatherers']",shellfish,Per,dozens of shellfish gatherers,Per,tp
gemini,participants,lusa_11,cls,"['torreira', 'shellfish', 'gatherers']",gatherers,Per,dozens of shellfish gatherers,Per,tp
gemini,participants,lusa_11,cls,['lusa'],lusa,Org,Lusa,Org,tp
gemini,participants,lusa_11,cls,"['fire', 'department']",fire,Org,,,fp
gemini,participants,lusa_11,cls,"['fire', 'department']",department,Org,,,fp
gemini,participants,lusa_11,cls,['lady'],a,Per,a lady,Per,fn
gemini,participants,lusa_11,cls,['lady'],lady,Per,a lady,Per,tp
gemini,participants,lusa_11,cls,"['seafood', 'protest']",seafood,Other,,,fp
gemini,participants,lusa_11,cls,"['seafood', 'protest']",protest,Other,,,fp
gemini,participants,lusa_11,cls,['driver'],the,Per,the driver,Per,fn
gemini,participants,lusa_11,cls,['driver'],driver,Per,the driver,Per,tp
gemini,participants,lusa_11,cls,['fishermen'],the,Per,The fishermen,Per,fn
gemini,participants,lusa_11,cls,['fishermen'],fishermen,Per,The fishermen,Per,tp
gemini,participants,lusa_11,cls,"['shellfish', 'gatherers']",dozens,Per,dozens of shellfish gatherers,Per,fn
gemini,participants,lusa_11,cls,"['shellfish', 'gatherers']",of,Per,dozens of shellfish gatherers,Per,fn
gemini,participants,lusa_11,cls,"['shellfish', 'gatherers']",shellfish,Per,dozens of shellfish gatherers,Per,tp
gemini,participants,lusa_11,cls,"['shellfish', 'gatherers']",gatherers,Per,dozens of shellfish gatherers,Per,tp
gemini,participants,lusa_11,cls,['bivalves'],bivalves,Obj,bivalves,Nat,tp
gemini,participants,lusa_11,cls,['place'],the,Loc,the place,Loc,fn
gemini,participants,lusa_11,cls,['place'],place,Loc,the place,Loc,tp
gemini,participants,lusa_11,cls,['man'],a,Per,a man,Per,fn
gemini,participants,lusa_11,cls,['man'],man,Per,a man,Per,tp
gemini,participants,lusa_11,cls,"['aveiro', 'hospital']",to,Fac,to Aveiro Hospital,Loc,fn
gemini,participants,lusa_11,cls,"['aveiro', 'hospital']",aveiro,Fac,to Aveiro Hospital,Loc,tp
gemini,participants,lusa_11,cls,"['aveiro', 'hospital']",hospital,Fac,to Aveiro Hospital,Loc,tp
gemini,participants,lusa_11,cls,"['torreira', 'pier']",torreira,Fac,Torreira pier,Fac,tp
gemini,participants,lusa_11,cls,"['torreira', 'pier']",pier,Fac,Torreira pier,Fac,tp
gemini,participants,lusa_11,cls,['vehicle'],the,Obj,the vehicle,Obj,fn
gemini,participants,lusa_11,cls,['vehicle'],vehicle,Obj,the vehicle,Obj,tp
gemini,participants,lusa_11,cls,['gnr'],the,Org,The GNR,Org,fn
gemini,participants,lusa_11,cls,['gnr'],gnr,Org,The GNR,Org,tp
gemini,participants,lusa_11,cls,"['aveiro', 'ria']",aveiro,Loc,Aveiro,Pl_civil,tp
gemini,participants,lusa_11,cls,"['aveiro', 'ria']",ria,Loc,Aveiro,Pl_civil,fp
gemini,participants,lusa_11,cls,['woman'],the,Per,the woman,Per,fn
gemini,participants,lusa_11,cls,['woman'],woman,Per,the woman,Per,tp
gemini,participants,lusa_11,cls,['protest'],protest,Other,,,fp
gemini,participants,lusa_11,cls,['injuries'],injuries,Other,,,fp
gemini,participants,lusa_11,cls,['incident'],incident,Other,,,fp
gemini,participants,lusa_11,cls,"['district', 'of', 'aveiro']",district,Loc,district of Aveiro,Pl_civil,tp
gemini,participants,lusa_11,cls,"['district', 'of', 'aveiro']",of,Loc,district of Aveiro,Pl_civil,tp
gemini,participants,lusa_11,cls,"['district', 'of', 'aveiro']",aveiro,Loc,district of Aveiro,Pl_civil,tp
gemini,participants,lusa_11,cls,"['44', 'year', 'old', 'woman']",a,Per,A 44-year-old woman,Per,fn
gemini,participants,lusa_11,cls,"['44', 'year', 'old', 'woman']",44,Per,A 44-year-old woman,Per,tp
gemini,participants,lusa_11,cls,"['44', 'year', 'old', 'woman']",year,Per,A 44-year-old woman,Per,tp
gemini,participants,lusa_11,cls,"['44', 'year', 'old', 'woman']",old,Per,A 44-year-old woman,Per,tp
gemini,participants,lusa_11,cls,"['44', 'year', 'old', 'woman']",woman,Per,A 44-year-old woman,Per,tp
gemini,participants,lusa_12,cls,"['police', 'source']",police,Per,source,Per,fp
gemini,participants,lusa_12,cls,"['police', 'source']",source,Per,source,Per,tp
gemini,participants,lusa_12,cls,['cases'],cases,Other,,,fp
gemini,participants,lusa_12,cls,"['district', 'of', 'magude']",the,Loc,the district of Magude,Loc,fn
gemini,participants,lusa_12,cls,"['district', 'of', 'magude']",district,Loc,the district of Magude,Loc,tp
gemini,participants,lusa_12,cls,"['district', 'of', 'magude']",of,Loc,the district of Magude,Loc,tp
gemini,participants,lusa_12,cls,"['district', 'of', 'magude']",magude,Loc,the district of Magude,Loc,tp
gemini,participants,lusa_12,cls,"['protected', 'area']",a,Loc,a protected,Loc,fn
gemini,participants,lusa_12,cls,"['protected', 'area']",protected,Loc,a protected,Loc,tp
gemini,participants,lusa_12,cls,"['protected', 'area']",area,Loc,a protected,Loc,fp
gemini,participants,lusa_12,cls,"['department', 'of', 'protection', 'of', 'natural', 'resources', 'and', 'environment']",the,Org,"the Department of Protection of Natural Resources and Environment, in",Org,fn
gemini,participants,lusa_12,cls,"['department', 'of', 'protection', 'of', 'natural', 'resources', 'and', 'environment']",department,Org,"the Department of Protection of Natural Resources and Environment, in",Org,tp
gemini,participants,lusa_12,cls,"['department', 'of', 'protection', 'of', 'natural', 'resources', 'and', 'environment']",of,Org,"the Department of Protection of Natural Resources and Environment, in",Org,tp
gemini,participants,lusa_12,cls,"['department', 'of', 'protection', 'of', 'natural', 'resources', 'and', 'environment']",protection,Org,"the Department of Protection of Natural Resources and Environment, in",Org,tp
gemini,participants,lusa_12,cls,"['department', 'of', 'protection', 'of', 'natural', 'resources', 'and', 'environment']",natural,Org,"the Department of Protection of Natural Resources and Environment, in",Org,tp
gemini,participants,lusa_12,cls,"['department', 'of', 'protection', 'of', 'natural', 'resources', 'and', 'environment']",resources,Org,"the Department of Protection of Natural Resources and Environment, in",Org,tp
gemini,participants,lusa_12,cls,"['department', 'of', 'protection', 'of', 'natural', 'resources', 'and', 'environment']",and,Org,"the Department of Protection of Natural Resources and Environment, in",Org,tp
gemini,participants,lusa_12,cls,"['department', 'of', 'protection', 'of', 'natural', 'resources', 'and', 'environment']",environment,Org,"the Department of Protection of Natural Resources and Environment, in",Org,tp
gemini,participants,lusa_12,cls,"['department', 'of', 'protection', 'of', 'natural', 'resources', 'and', 'environment']",in,Org,"the Department of Protection of Natural Resources and Environment, in",Org,fn
gemini,participants,lusa_12,cls,['lusa'],lusa,Org,Lusa,Org,tp
gemini,participants,lusa_12,cls,['agent'],agent,Per,agents,Per,fp
gemini,participants,lusa_12,cls,['agent'],agents,Per,agents,Per,fn
gemini,participants,lusa_12,cls,['colleague'],a,Per,a colleague,Per,fn
gemini,participants,lusa_12,cls,['colleague'],colleague,Per,a colleague,Per,tp
gemini,participants,lusa_12,cls,"['province', 'of', 'maputo']",the,Loc,the province of Maputo,Loc,fn
gemini,participants,lusa_12,cls,"['province', 'of', 'maputo']",province,Loc,the province of Maputo,Loc,tp
gemini,participants,lusa_12,cls,"['province', 'of', 'maputo']",of,Loc,the province of Maputo,Loc,tp
gemini,participants,lusa_12,cls,"['province', 'of', 'maputo']",maputo,Loc,the province of Maputo,Loc,tp
gemini,participants,lusa_12,cls,"['police', 'officer']",a,Per,A Mozambican police officer,Per,fn
gemini,participants,lusa_12,cls,"['police', 'officer']",mozambican,Per,A Mozambican police officer,Per,fn
gemini,participants,lusa_12,cls,"['police', 'officer']",police,Per,A Mozambican police officer,Per,tp
gemini,participants,lusa_12,cls,"['police', 'officer']",officer,Per,A Mozambican police officer,Per,tp
gemini,participants,lusa_12,cls,['processes'],processes,Other,,,fp
gemini,participants,lusa_12,cls,['command'],the,Org,The command,Org,fn
gemini,participants,lusa_12,cls,['command'],command,Org,The command,Org,tp
gemini,participants,lusa_12,cls,['spokesperson'],the,Per,the spokesperson,Per,fn
gemini,participants,lusa_12,cls,['spokesperson'],spokesperson,Per,the spokesperson,Per,tp
gemini,participants,lusa_12,cls,"['patrol', 'activity']",patrol,Other,,,fp
gemini,participants,lusa_12,cls,"['patrol', 'activity']",activity,Other,,,fp
gemini,participants,lusa_12,cls,"['southern', 'mozambique']",southern,Loc,southern Mozambique,Loc,tp
gemini,participants,lusa_12,cls,"['southern', 'mozambique']",mozambique,Loc,southern Mozambique,Loc,tp
gemini,participants,lusa_12,cls,"['juarce', 'martins']",juarce,Per,Juarce Martins,Per,tp
gemini,participants,lusa_12,cls,"['juarce', 'martins']",martins,Per,Juarce Martins,Per,tp
gemini,participants,lusa_12,cls,['camp'],the,Fac,the camp,Fac,fn
gemini,participants,lusa_12,cls,['camp'],camp,Fac,the camp,Fac,tp
gemini,participants,lusa_12,cls,"['police', 'of', 'the', 'republic', 'of', 'mozambique']",the,Org,the Police of the Republic of Mozambique (PRM),Org,fn
gemini,participants,lusa_12,cls,"['police', 'of', 'the', 'republic', 'of', 'mozambique']",police,Org,the Police of the Republic of Mozambique (PRM),Org,tp
gemini,participants,lusa_12,cls,"['police', 'of', 'the', 'republic', 'of', 'mozambique']",of,Org,the Police of the Republic of Mozambique (PRM),Org,tp
gemini,participants,lusa_12,cls,"['police', 'of', 'the', 'republic', 'of', 'mozambique']",republic,Org,the Police of the Republic of Mozambique (PRM),Org,tp
gemini,participants,lusa_12,cls,"['police', 'of', 'the', 'republic', 'of', 'mozambique']",mozambique,Org,the Police of the Republic of Mozambique (PRM),Org,tp
gemini,participants,lusa_12,cls,"['police', 'of', 'the', 'republic', 'of', 'mozambique']",prm,Org,the Police of the Republic of Mozambique (PRM),Org,fn
gemini,participants,lusa_12,cls,['prm'],the,Org,the PRM,Org,fn
gemini,participants,lusa_12,cls,['prm'],prm,Org,the PRM,Org,tp
gemini,participants,lusa_12,cls,['maputo'],maputo,Loc,,,fp
gemini,participants,lusa_12,cls,['perpetrator'],the,Per,the perpetrator,Per,fn
gemini,participants,lusa_12,cls,['perpetrator'],perpetrator,Per,the perpetrator,Per,tp
gemini,participants,lusa_12,cls,['shot'],shot,Other,,,fp
gemini,participants,lusa_13,cls,['crew'],the,Per,the crew,Per,fn
gemini,participants,lusa_13,cls,['crew'],crew,Per,the crew,Per,tp
gemini,participants,lusa_13,cls,"['closed', 'seasons']",closed,Other,those responsible,Per,fp
gemini,participants,lusa_13,cls,"['closed', 'seasons']",seasons,Other,those responsible,Per,fp
gemini,participants,lusa_13,cls,"['closed', 'seasons']",those,Other,those responsible,Per,fn
gemini,participants,lusa_13,cls,"['closed', 'seasons']",responsible,Other,those responsible,Per,fn
gemini,participants,lusa_13,cls,"['veda', 'season']",vessels,Other,vessels,Obj,fn
gemini,participants,lusa_13,cls,"['veda', 'season']",veda,Other,vessels,Obj,fp
gemini,participants,lusa_13,cls,"['veda', 'season']",season,Other,vessels,Obj,fp
gemini,participants,lusa_13,cls,['boxes'],boxes,Obj,boxes,Obj,tp
gemini,participants,lusa_13,cls,"['marine', 'species']",marine,Nature,marine species,Nat,tp
gemini,participants,lusa_13,cls,"['marine', 'species']",species,Nature,marine species,Nat,tp
gemini,participants,lusa_13,cls,"['authority', 'source']",authority,Per,authority,Org,tp
gemini,participants,lusa_13,cls,"['authority', 'source']",source,Per,authority,Org,fp
gemini,participants,lusa_13,cls,"['those', 'responsible']",those,Per,those responsible,Per,tp
gemini,participants,lusa_13,cls,"['those', 'responsible']",responsible,Per,those responsible,Per,tp
gemini,participants,lusa_13,cls,['saturday'],saturday,Other,,,fp
gemini,participants,lusa_13,cls,"['maria', 'river', 'mangrove']",the,Loc,the Maria River mangrove,Loc,fn
gemini,participants,lusa_13,cls,"['maria', 'river', 'mangrove']",maria,Loc,the Maria River mangrove,Loc,tp
gemini,participants,lusa_13,cls,"['maria', 'river', 'mangrove']",river,Loc,the Maria River mangrove,Loc,tp
gemini,participants,lusa_13,cls,"['maria', 'river', 'mangrove']",mangrove,Loc,the Maria River mangrove,Loc,tp
gemini,participants,lusa_13,cls,['lusa'],lusa,Org,Lusa,Loc,tp
gemini,participants,lusa_13,cls,['boat'],the,Obj,the boat,Obj,fn
gemini,participants,lusa_13,cls,['boat'],boat,Obj,the boat,Obj,tp
gemini,participants,lusa_13,cls,"['center', 'of', 'the', 'country']",center,Loc,the outskirts of the city of Beira,Loc,fp
gemini,participants,lusa_13,cls,"['center', 'of', 'the', 'country']",the,Loc,the outskirts of the city of Beira,Loc,fn
gemini,participants,lusa_13,cls,"['center', 'of', 'the', 'country']",outskirts,Loc,the outskirts of the city of Beira,Loc,fn
gemini,participants,lusa_13,cls,"['center', 'of', 'the', 'country']",of,Loc,the outskirts of the city of Beira,Loc,tp
gemini,participants,lusa_13,cls,"['center', 'of', 'the', 'country']",country,Loc,the outskirts of the city of Beira,Loc,fp
gemini,participants,lusa_13,cls,"['center', 'of', 'the', 'country']",city,Loc,the outskirts of the city of Beira,Loc,fn
gemini,participants,lusa_13,cls,"['center', 'of', 'the', 'country']",beira,Loc,the outskirts of the city of Beira,Loc,fn
gemini,participants,lusa_13,cls,['inspectors'],inspectors,Per,inspectors,Per,tp
gemini,participants,lusa_13,cls,['vessel'],vessel,Obj,vessels,Obj,fp
gemini,participants,lusa_13,cls,['vessel'],vessels,Obj,vessels,Obj,fn
gemini,participants,lusa_13,cls,['crab'],crab,Nature,crab,Nat,tp
gemini,participants,lusa_13,cls,"['provincial', 'capital', 'of', 'sofala']",outskirts,Loc,outskirts of the provincial capital of Sofala,Loc,fn
gemini,participants,lusa_13,cls,"['provincial', 'capital', 'of', 'sofala']",of,Loc,outskirts of the provincial capital of Sofala,Loc,fn
gemini,participants,lusa_13,cls,"['provincial', 'capital', 'of', 'sofala']",the,Loc,outskirts of the provincial capital of Sofala,Loc,fn
gemini,participants,lusa_13,cls,"['provincial', 'capital', 'of', 'sofala']",provincial,Loc,outskirts of the provincial capital of Sofala,Loc,tp
gemini,participants,lusa_13,cls,"['provincial', 'capital', 'of', 'sofala']",capital,Loc,outskirts of the provincial capital of Sofala,Loc,tp
gemini,participants,lusa_13,cls,"['provincial', 'capital', 'of', 'sofala']",sofala,Loc,outskirts of the provincial capital of Sofala,Loc,tp
gemini,participants,lusa_13,cls,['populations'],their,Nature,their populations,Nat,fn
gemini,participants,lusa_13,cls,['populations'],populations,Nature,their populations,Nat,tp
gemini,participants,lusa_13,cls,"['end', 'of', 'the', 'year']",end,Other,the head,Per,fp
gemini,participants,lusa_13,cls,"['end', 'of', 'the', 'year']",of,Other,the head,Per,fp
gemini,participants,lusa_13,cls,"['end', 'of', 'the', 'year']",the,Other,the head,Per,tp
gemini,participants,lusa_13,cls,"['end', 'of', 'the', 'year']",year,Other,the head,Per,fp
gemini,participants,lusa_13,cls,"['end', 'of', 'the', 'year']",head,Other,the head,Per,fn
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'provincial', 'capital', 'of', 'sofala']",outskirts,Loc,outskirts of the provincial capital of Sofala,Loc,tp
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'provincial', 'capital', 'of', 'sofala']",of,Loc,outskirts of the provincial capital of Sofala,Loc,tp
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'provincial', 'capital', 'of', 'sofala']",the,Loc,outskirts of the provincial capital of Sofala,Loc,tp
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'provincial', 'capital', 'of', 'sofala']",provincial,Loc,outskirts of the provincial capital of Sofala,Loc,tp
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'provincial', 'capital', 'of', 'sofala']",capital,Loc,outskirts of the provincial capital of Sofala,Loc,tp
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'provincial', 'capital', 'of', 'sofala']",sofala,Loc,outskirts of the provincial capital of Sofala,Loc,tp
gemini,participants,lusa_13,cls,"['city', 'of', 'beira']",the,Loc,the outskirts of the city of Beira,Loc,fn
gemini,participants,lusa_13,cls,"['city', 'of', 'beira']",outskirts,Loc,the outskirts of the city of Beira,Loc,fn
gemini,participants,lusa_13,cls,"['city', 'of', 'beira']",of,Loc,the outskirts of the city of Beira,Loc,fn
gemini,participants,lusa_13,cls,"['city', 'of', 'beira']",city,Loc,the outskirts of the city of Beira,Loc,tp
gemini,participants,lusa_13,cls,"['city', 'of', 'beira']",beira,Loc,the outskirts of the city of Beira,Loc,tp
gemini,participants,lusa_13,cls,['sofala'],sofala,Loc,,,fp
gemini,participants,lusa_13,cls,"['cã', 'sar', 'maphossa']",cã,Per,César Maphossa,Per,fp
gemini,participants,lusa_13,cls,"['cã', 'sar', 'maphossa']",sar,Per,César Maphossa,Per,fp
gemini,participants,lusa_13,cls,"['cã', 'sar', 'maphossa']",césar,Per,César Maphossa,Per,fn
gemini,participants,lusa_13,cls,"['cã', 'sar', 'maphossa']",maphossa,Per,César Maphossa,Per,tp
gemini,participants,lusa_13,cls,['vessels'],vessels,Obj,vessels,Obj,tp
gemini,participants,lusa_13,cls,"['mozambican', 'maritime', 'inspection']",mozambican,Org,,,fp
gemini,participants,lusa_13,cls,"['mozambican', 'maritime', 'inspection']",maritime,Org,,,fp
gemini,participants,lusa_13,cls,"['mozambican', 'maritime', 'inspection']",inspection,Org,,,fp
gemini,participants,lusa_13,cls,"['mozambican', 'authorities']",mozambican,Org,authorities,Org,fp
gemini,participants,lusa_13,cls,"['mozambican', 'authorities']",authorities,Org,authorities,Org,tp
gemini,participants,lusa_13,cls,['species'],the,Nature,the species,Nat,fn
gemini,participants,lusa_13,cls,['species'],species,Nature,the species,Nat,tp
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'city', 'of', 'beira']",the,Loc,the outskirts of the city of Beira,Loc,fn
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'city', 'of', 'beira']",outskirts,Loc,the outskirts of the city of Beira,Loc,tp
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'city', 'of', 'beira']",of,Loc,the outskirts of the city of Beira,Loc,tp
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'city', 'of', 'beira']",city,Loc,the outskirts of the city of Beira,Loc,tp
gemini,participants,lusa_13,cls,"['outskirts', 'of', 'the', 'city', 'of', 'beira']",beira,Loc,the outskirts of the city of Beira,Loc,tp
gemini,participants,lusa_13,cls,['september'],september,Other,,,fp
gemini,participants,lusa_13,cls,"['central', 'mozambique']",central,Loc,central Mozambique,Loc,tp
gemini,participants,lusa_13,cls,"['central', 'mozambique']",mozambique,Loc,central Mozambique,Loc,tp
gemini,participants,lusa_13,cls,"['natural', 'habitat']",natural,Loc,natural habitat,Loc,tp
gemini,participants,lusa_13,cls,"['natural', 'habitat']",habitat,Loc,natural habitat,Loc,tp
gemini,participants,lusa_13,cls,"['head', 'of', 'inspection']",head,Per,inspectors,Per,fp
gemini,participants,lusa_13,cls,"['head', 'of', 'inspection']",of,Per,inspectors,Per,fp
gemini,participants,lusa_13,cls,"['head', 'of', 'inspection']",inspection,Per,inspectors,Per,fp
gemini,participants,lusa_13,cls,"['head', 'of', 'inspection']",inspectors,Per,inspectors,Per,fn
gemini,participants,lusa_13,cls,"['ban', 'period']",ban,Other,,,fp
gemini,participants,lusa_13,cls,"['ban', 'period']",period,Other,,,fp
gemini,participants,lusa_13,cls,['crabs'],crabs,Nature,crabs,Nat,tp
gemini,participants,lusa_13,cls,['authorities'],authorities,Org,authorities,Org,tp
gemini,participants,lusa_14,cls,"['group', 'of', 'agricultural', 'workers']",a,Per,a group of agricultural workers,Per,fn
gemini,participants,lusa_14,cls,"['group', 'of', 'agricultural', 'workers']",group,Per,a group of agricultural workers,Per,tp
gemini,participants,lusa_14,cls,"['group', 'of', 'agricultural', 'workers']",of,Per,a group of agricultural workers,Per,tp
gemini,participants,lusa_14,cls,"['group', 'of', 'agricultural', 'workers']",agricultural,Per,a group of agricultural workers,Per,tp
gemini,participants,lusa_14,cls,"['group', 'of', 'agricultural', 'workers']",workers,Per,a group of agricultural workers,Per,tp
gemini,participants,lusa_14,cls,"['one', 'woman']",one,Per,one woman,Per,tp
gemini,participants,lusa_14,cls,"['one', 'woman']",woman,Per,one woman,Per,tp
gemini,participants,lusa_14,cls,"['gunshot', 'wounds']",gunshot,Obj,wounds,Obj,fp
gemini,participants,lusa_14,cls,"['gunshot', 'wounds']",wounds,Obj,wounds,Obj,tp
gemini,participants,lusa_14,cls,['mexico'],mexico,Loc,Mexico,Loc,tp
gemini,participants,lusa_14,cls,"['michoac', 'n']",mexico,Loc,Mexico,Loc,fn
gemini,participants,lusa_14,cls,"['michoac', 'n']",michoac,Loc,Mexico,Loc,fp
gemini,participants,lusa_14,cls,"['michoac', 'n']",n,Loc,Mexico,Loc,fp
gemini,participants,lusa_14,cls,['revenge'],revenge,Other,seven people,Per,fp
gemini,participants,lusa_14,cls,['revenge'],seven,Other,seven people,Per,fn
gemini,participants,lusa_14,cls,['revenge'],people,Other,seven people,Per,fn
gemini,participants,lusa_14,cls,['wednesday'],wednesday,Other,,,fp
gemini,participants,lusa_14,cls,"['hired', 'killers', 'sicarios']",hired,Per,sicarios,Per,fp
gemini,participants,lusa_14,cls,"['hired', 'killers', 'sicarios']",killers,Per,sicarios,Per,fp
gemini,participants,lusa_14,cls,"['hired', 'killers', 'sicarios']",sicarios,Per,sicarios,Per,tp
gemini,participants,lusa_14,cls,['violence'],violence,Other,,,fp
gemini,participants,lusa_14,cls,"['drug', 'trafficking']",drug,Other,,,fp
gemini,participants,lusa_14,cls,"['drug', 'trafficking']",trafficking,Other,,,fp
gemini,participants,lusa_14,cls,['bodies'],the,Obj,the bodies,Other,fn
