word,frequency
prostituir,2
obrigar,2
condena,2
forças,2
osvaldo,2
pormenores,2
referentes,2
normas,2
pouco,2
apreendidas,2
ravina,2
guineense,2
primeiras,2
porte,2
ordenou,2
superiores,2
sofre,2
vieira,2
autocarro,2
usava,2
estimado,2
bordo,2
reverter,2
fonseca,2
fernando,2
doutor,2
professor,2
36,2
correia,2
84,2
assinala,2
facada,2
embate,2
destroços,2
cortada,2
sivicc,2
integrado,2
especificou,2
ambos,2
relação,2
amares,2
consumiu,2
empresa,2
rbf,2
partir,2
paris,2
circulava,2
relações,2
eletricidade,2
iluminação,2
sonora,2
vingar,2
entrou,2
transbordo,2
150,2
ocupante,2
mls,2
jpc,2
intercetada,2
bombas,2
virtude,2
coronavírus,2
ciclomotor,2
serem,2
condução,2
integridade,2
coletivo,2
extensível,2
bastão,2
diretoria,2
atingida,2
pôs,2
positivo,2
emmanuel,2
francês,2
preventivo,2
afastamento,2
dela,2
agredir,2
rádio,2
poderá,2
benfica,2
derrubou,2
grua,2
daquele,2
hipopótamo,2
emitido,2
avançado,2
citada,2
origem,2
mantém,2
agenda,2
daqueles,2
administrador,2
carreiras,2
guerra,2
realizou,2
propriedade,2
ficar,2
forte,2
diário,2
programa,2
tal,2
andaime,2
aplicada,2
auxílio,2
silva,2
santos,2
braço,2
la,2
pescador,2
relata,2
provado,2
mim,2
ajax,2
quincy,2
amg,2
faixa,2
toda,2
bem,2
essa,2
deteção,2
réplica,2
amaral,2
marim,2
envolvidas,2
cometidos,2
jornalista,2
trump,2
ap,2
confirmação,2
chegar,2
45,2
andrews,2
contar,2
união,2
onda,2
australiano,2
conflito,2
disparado,2
nós,2
sad,2
desconhecida,2
pessoa,2
tice,2
delegada,2
socorrido,2
pja,2
68,2
futebol,2
mundo,2
estabilizado,2
clínico,2
campeonato,2
clube,2
fazem,2
sofrido,2
apropriação,2
atirador,2
tejo,2
peito,2
retomadas,2
serão,2
marítimo,2
salva,2
vam,2
castro,2
vez,2
rochosa,2
açores,2
amiga,2
desestruturada,2
barco,2
detetou,2
suinícolas,2
mesmos,2
frisou,2
realização,2
sublinhou,2
brancas,2
estação,2
atirou,2
passava,2
efetuado,2
salvamento,2
alvo,2
jan,2
identificados,2
cavaleiros,1
macedo,1
corotelo,1
bar,1
estacionado,1
medica,1
envolvido,1
carrasco,1
referência,1
helitransportada,1
falecer,1
resistir,1
acabaria,1
envolve,1
galegos,1
vilarinhos,1
comunitária,1
transmissão,1
avistado,1
deixado,1
entrado,1
romena,1
êxito,1
encontrar,1
brasileiro,1
vaya,1
desconhecidas,1
53,1
mira,1
interrompidas,1
coordenação,1
ativou,1
adeptos,1
instituições,1
atletas,1
clubes,1
mensagens,1
endereçaram,1
profissionais,1
agradecemos,1
cantos,1
agradecem,1
ribatejanos,1
facebook,1
xira,1
franca,1
mica,1
chegadas,1
privados,1
seguranças,1
oitos,1
algo,1
fornece,1
820,1
australianas,1
908,1
vírus,1
resto,1
infeções,1
desencadearam,1
apreço,1
demonstração,1
gigantesca,1
juntaram,1
pandémico,1
livro,1
rapidamente,1
implementado,1
dan,1
relatório,1
encarcerada,1
indicado,1
anteriormente,1
quilómetro,1
loures,1
talha,1
almeirim,1
alverquense,1
finalizou,1
humana,1
celebração,1
telegraaf,1
divulgação,1
pediu,1
quarentenas,1
pede,1
covi,1
citando,1
holandeses,1
lateral,1
cortado,1
fraco,1
claros,1
vitoriana,1
comunidade,1
quero,1
utrecht,1
sintomas,1
apresenta,1
distância,1
realizará,1
executiva,1
implique,1
cancelar,1
povoação,1
pequena,1
abcoude,1
armazém,1
impedido,1
interpuseram,1
pescoço,1
esfaqueou,1
príncipe,1
tomé,1
preparação,1
quadro,1
risco,1
avaliação,1
eliseu,1
holandesa,1
seleção,1
representou,1
decorrentes,1
lesões,1
baixos,1
países,1
conduziu,1
apresentada,1
servida,1
giela,1
paio,1
oculares,1
testemunhas,1
assinar,1
sevilha,1
moscovo,1
spartak,1
twente,1
profissional,1
golos,1
marcou,1
jogos,1
testou,1
prevista,1
tunning,1
acrescentando,1
carro,1
101,1
assemelhavam,1
encostadas,1
procediam,1
manter,1
deverá,1
espalhados,1
derramado,1
óleo,1
fechadas,1
permanecem,1
cada,1
faixas,1
ligeiramente,1
deixa,1
jlg,1
prestar,1
gonzaga,1
luís,1
sb,1
superior,1
peso,1
comprimento,1
fibra,1
marítimos,1
acionados,1
politraumatizado,1
perdido,1
transformada,1
prevenção,1
divisão,1
ª,1
esquadra,1
efetivo,1
parou,1
cessar,1
desobedecer,1
atingiram,1
só,1
pernas,1
refojos,1
parar,1
recusou,1
reais,1
bagos,1
detiveram,1
movimentações,1
verificarem,1
673,1
43,1
hyn,1
detalhes,1
informada,1
convenientes,1
fixação,1
desconhecer,1
intimidação,1
sequer,1
judiciárias,1
epri,1
reação,1
pasteleira,1
contactou,1
recolheu,1
222,1
som,1
coluna,1
235,1
599,1
desempregado,1
numerário,1
844,1
103,1
570,1
transação,1
efetuar,1
preparavam,1
ónus,1
analisou,1
morgado,1
diogo,1
mães,1
vive,1
maiorga,1
fervença,1
identificada,1
proprietária,1
funcionar,1
encerrado,1
encerrou,1
eventuais,1
cacém,1
santiago,1
definitiva,1
contrapartida,1
privadas,1
gestão,1
provenientes,1
35mm,1
operada,1
companheiro,1
tipos,1
funcionamento,1
normal,1
garantam,1
adotadas,1
utilidade,1
atendendo,1
encargos,1
financiados,1
imobiliários,1
projetos,1
sabedoria,1
universal,1
group,1
heavy,1
méssene,1
legais,1
representantes,1
respetivo,1
64,1
património,1
integrar,1
passam,1
irrevogável,1
devolvida,1
mercadoria,1
salgada,1
bivalve,1
molusco,1
conhecido,1
edule,1
cerastoderma,1
centímetros,1
comercializado,1
mercadorias,1
pesado,1
moluscos,1
dirigida,1
públicos,1
fundos,1
edifícios,1
ativos,1
rcr,1
ingombota,1
cabral,1
amílcar,1
sapiens,1
eucaliptos,1
torres,1
talatona,1
residence,1
monalisa,1
realizaram,1
argentinas,1
rpc,1
espécimes,1
submetido,1
subdural,1
hematoma,1
participou,1
luque,1
leopoldo,1
perícias,1
andré,1
saber,1
ordenadas,1
isidro,1
ocorrida,1
argentino,1
diego,1
maximiliano,1
incluindo,1
subir,1
salvar,1
incêndios,1
conferência,1
nepalesa,1
licença,1
funcionava,1
reunião,1
ccc,1
inquérito,1
abriu,1
argentina,1
justiça,1
cosachov,1
agustina,1
psiquiatra,1
scmp,1
post,1
morning,1
south,1
jornal,1
residencial,1
moinho,1
liamba,1
cabeças,1
apreenderam,1
cultivar,1
agrícola,1
terreno,1
policiamento,1
banho,1
janela,1
flora,1
fauna,1
comércio,1
convenção,1
certificado,1
necessita,1
vias,1
contendo,1
fluvial,1
765,1
avaliados,1
205,1
acolhido,1
década,1
encontram,1
hospitalizados,1
responsabilidades,1
apuramento,1
contraordenacional,1
últimas,1
eleito,1
círculo,1
belém,1
aberto,1
respetivos,1
licenciamento,1
interiores,1
culturas,1
instalação,1
cites,1
ameaçadas,1
silvestres,1
nelson,1
furtado,1
miguel,1
nomeação,1
pedido,1
exoneração,1
proposta,1
presidência,1
portal,1
exercer,1
cyc,1
europeias,1
enguias,1
puníveis,1
poderão,1
infrações,1
diferentes,1
diversas,1
mola,1
reprodução,1
carabinas,1
efetuadas,1
abusivo,1
violento,1
verificando,1
exercia,1
caria,1
mudança,1
substituir,1
socialista,1
substitui,1
fileiras,1
gafanha,1
costeira,1
juntar,1
tentado,1
cumprir,1
condicional,1
liberdade,1
macedónia,1
austríaca,1
dupla,1
levar,1
podendo,1
interdita,1
cuja,1
covilhã,1
calibres,1
califado,1
atuaram,1
feria,1
consumado,1
roubaram,1
doado,1
próprio,1
considerado,1
higiossanitário,1
interdito,1
mestre,1
313,1
localizar,1
posteriores,1
77,1
nazaré,1
assaltantes,1
determinado,1
tapada,1
abatido,1
combatente,1
evoca,1
amaq,1
propaganda,1
assaltante,1
foto,1
acompanhado,1
separado,1
texto,1
ópera,1
sinagoga,1
registados,1
pânico,1
botão,1
soldado,1
atribui,1
telegram,1
redes,1
publicado,1
reivindicou,1
jihadista,1
reivindica,1
separação,1
42,1
dispositivo,1
monte,1
procurado,1
continuava,1
beirute,1
naquele,1
homicídios,1
flagelos,1
organizado,1
rivais,1
cartéis,1
questões,1
território,1
encetaram,1
intercetar,1
conseguiram,1
115,1
aprrendidas,1
teleassistência,1
aplicado,1
considerar,1
identidade,1
desmembrados,1
tortura,1
bala,1
par,1
apresentavam,1
informativa,1
coagido,1
saiu,1
idoso,1
jgs,1
espanholas,1
informadas,1
espanhol,1
pcr,1
encontrados,1
rural,1
abandonados,1
precisando,1
possivelmente,1
contratados,1
assassinos,1
trás,1
cinotécnica,1
cão,1
octogenária,1
sabroso,1
81,1
possibilidade,1
admitem,1
linhas,1
provincial,1
mangal,1
matam,1
morelia,1
populações,1
permita,1
marinhas,1
ocorrer,1
envolveram,1
ueps,1
procurada,1
reside,1
montes,1
tangamandapio,1
agrícolas,1
trabalhadores,1
confiscada,1
fiscais,1
aperceberam,1
fundeado,1
abandonaram,1
bidoeira,1
deteta,1
eyc,1
físicos,1
infligir,1
sustentável,1
visam,1
épocas,1
decorre,1
descoberto,1
sofala,1
impedem,1
144,1
máximo,1
ponto,1
depuração,1
assegurasse,1
mecanismo,1
armazenagem,1
livremente,1
escorrer,1
confrontados,1
agropecuária,1
proveniente,1
caixas,1
dissimulados,1
caranguejos,1
maphossa,1
césar,1
neutralizados,1
sejam,1
multas,1
pesadas,1
incorrem,1
responsáveis,1
600,1
descobriram,1
dundo,1
rdcongo,1
congo,1
democrática,1
frustrou,1
congoleses,1
última,1
apanhar,1
época,1
100,1
tonelada,1
apreendem,1
destes,1
colaboração,1
kudissanga,1
denominada,1
angop,1
noticiosa,1
citado,1
pretendiam,1
traficantes,1
supostos,1
beneficiário,1
2011,1
processamento,1
moçambicanas,1
lfo,1
interesse,1
acompanhará,1
disciplinar,1
abertos,1
correram,1
colegas,1
ouvir,1
envio,1
preenchimento,1
logrando,1
falsificado,1
detida,1
divulgado,1
alentejano,1
ll,1
escalado,1
execução,1
substituíssem,1
subordinados,1
efectivo,1
ordenado,1
líquido,1
recebeu,1
direito,1
tivesse,1
embora,1
escala,1
protegida,1
patrulha,1
regressavam,1
acampamento,1
próximo,1
magude,1
naturais,1
recursos,1
departamento,1
afetos,1
tratam,1
revista,1
abordada,1
nervoso,1
demonstrou,1
122,1
estremoz,1
alvejando,1
disparou,1
disso,1
desconhecidos,1
discutir,1
fiscal,1
estampilha,1
espirituosas,1
litros,1
impressora,1
computador,1
decorreu,1
meã,1
autos,1
elaborou,1
próximos,1
intercetaram,1
lyn,1
site,1
inglaterra,1
farnborough,1
ligação,1
aviation,1
jota,1
acondicionamento,1
plástico,1
sacos,1
tesoura,1
digital,1
gramas,1
viçosa,1
residências,1
relativos,1
dignos,1
incidentes,1
parado,1
aterragem,1
delgado,1
humberto,1
aterra,1
acessórios,1
cartuchos,1
relato,1
permitidos,1
exercício,1
250,1
inferior,1
rixa,1
dd,1
carregador,1
